Precio	Expensas	Calle	Altura	Piso	Detalles	Descripción	Link	Amenities	Losa_Central	Aire_Acond	Apto_Credito	Cochera	Seguridad	Luminoso	Balcon_Aterrazado
USD 167.700	+ $270.000	Avenida Juan Bautista Alberdi	1600	0	3 dorm. 50 años 2 baños	Exclusivo 4 Ambientes con Balcón y Cochera • Cerca Subte A y Pedro Goyena DEPARTAMENTO 4 AMBIENTES (2 BAÑOS) - CON BALCÓN Y COCHERA PROPIA. Av. Juan Bautista Alberdi 1600 – Piso 18 | Caballito Edificio de categoría Grupo electrógeno Patio de juegos / plaza seca Encargado permanente Vigilancia nocturna Impecable 4 ambientes con vista panorámica y cochera fija Unidad amplia, luminosa y súper funcional, con la posibilidad real de generar un 5° ambiente. Ideal para: Familias que necesitan más espacio Profesionales que trabajan desde casa Inversores que buscan una propiedad versátil en zona premium El living-comedor de gran tamaño conecta con un balcón funcional, perfecto para disfrutar de vistas abiertas a la ciudad. Cochera propia incluida Un diferencial muy valorado en Caballito: cochera fija en el edificio incluida en el precio. Luz natural & vistas abiertas todo el día La orientación y altura del piso ofrecen iluminación constante y vistas panorámicas únicas. Ubicación privilegiada A metros de los principales puntos del barrio: 1 cuadra de Av. Pedro Goyena 2 cuadras de Av. Rivadavia 3 cuadras de estaciones del Subte A (Puan y Carabobo) Rodeado de líneas de colectivos Próximo a colegios, comercios y centros de salud FICHA TÉCNICA - Living- comedor: 2.90 x 6.35 M - Sala de estar: 2.85 x 3.80 M - Dormitorio Principal: 3.15 x 3.65 M - Dormitorio: 2.30 x 2.60 M - Dormitorio: 2.85x 3.65 M - Cocina: 1.95 x 3.55 M - Vestidor: 2 x 1.50 M - Baño principal: 2.90 x 1.50 M - Toilette: 1.30 x 1.50 M - Hall distribución: 7.80 x 1 M - Balcón: 4.60 x 0.80 M - Sup Total: 92 M - Sup Cub.: 88 M Ambientes amplios y adaptables a tus necesidades La unidad presenta una entrada principal que conduce a un living-comedor amplio y luminoso, ideal para disfrutar, recibir y trabajar. La cocina funcional cuenta con lavadero independiente, y los espacios permiten diversas posibilidades de reconversión según el proyecto de cada familia. Dispone de baño completo + toilette (según plano), logrando una distribución equilibrada y cómoda. Apto crédito • Excelente accesibilidad y proyección La altura y orientación del departamento, junto con su funcionalidad y cochera incluida, lo posicionan como una oportunidad ideal para crédito hipotecario. Su ubicación estratégica, en uno de los sectores más buscados de Caballito, asegura conectividad, cercanía a servicios y alto potencial de valorización. ¿Por qué es una oportunidad única? Flexibilidad total Transformación sencilla de 4 a 5 ambientes, adaptándose a familias, home office o uso profesional. Ubicación privilegiada A metros del Subte A y de los principales ejes comerciales, gastronómicos y de transporte del barrio. Comodidad asegurada Cochera incluida, ambientes amplios y capacidad real de reorganizar espacios según tu estilo de vida. Potencial de revalorización Las unidades de piso alto, con grandes superficies y vista abierta en Caballito, son cada vez más demandadas y mantienen una valorización sostenida. Servicios inmobiliarios profesionales VSI CONSULTÁ POR: Sucesiones Tasaciones judiciales y profesionales Operaciones de compra-venta simultáneas Alquileres Administración de propiedades Trámites notariales Asesoramiento integral y gratuito CUCICBA Mat. 7402- Villalba Soluciones Inmobiliarias El inmueble publicado no es accesible para personas con capacidades físicas reducidas. Las descripciones arquitectónicas y funcionales, valores de expensas impuestos, servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización. El interesado deberá realizar las verificaciones previamente a realizar cualquier operación.	https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--17693156	0	0	0	1	1	1	1	0
USD 165.000	+ $280.000	Nicolas Repetto	1100	5	129 m² cubie. 3 dorm. 47 años	Departamento - Venta - Argentina, Capital Federal - Nicolas Repetto 1110 Departamento en Caballito, Capital Federal Piso de 5 Ambientes 128m2 + Baulera y Cochera en la zona de Caballito a metros del Cid Campeador. APTO CREDITO HIPOTECARIO 5to piso al frente, orientación noreste, super luminoso y silencioso. Unidad en buen estado de conservacion, pisos de parquet en casi toda la unidad. Cuenta con 3 dormitorios, 3 baños, balcón corrido a todo el frente, palier pirivado y acceso de servicio. 3 baños, 2 completos y uno de servicios. Cocina con lavadero, y habitacion de servicio con su respectivo baño y acceso. Edficio de 8 pisos con una sola unidad por piso, 2 ascensores. Espacio Guarda coche en planta baja (solo hay 5 guarda coches) Baulera Amplia incluida en el valor Precio US$ 165.000 (incluye guarda coche y baulera) Expensas $282.000 (diciembre2025) AySA $40.833,92 ABL $64.900 TOMAS TRIPPUTI - Mat. CUCICBA N 7969 AVISO Todas las propiedades que figuran en nuestra cartera se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él Los precios de expensas e impuestos son en base a los ultimas liquidaciones y pueden variar.	https://www.argenprop.com/departamento-en-venta-en-caballito-5-ambientes--18828350	0	0	0	1	1	0	1	0
USD 113.076	N/A	AV FRANCISCO ACUÑA DE FIGUEROA	1200	7	30 m² cubie. A Estrenar 1 baño	V. PALERMO Venta de Departamento 1 AMBIENTE en Palermo, Capital Federal VPalermo - Viví la experiencia de un edificio único. Ubicado en Acuña de Figueroa 1204, a metros del Sanatorio Güemes, este edificio es ideal tanto para renta sanitaria con alta ocupación durante todo el año, como para quienes buscan conectividad absoluta, rodeado de múltiples medios de transporte. Desde el momento en que ingresás, el edificio marca la diferencia: Ingreso inteligente mediante clave o tarjeta de proximidad. Amplio hall de recepción y dos ascensores de gran capacidad. Amenities premium: SUM, espacio de coworking y piscina con solarium en el último piso. Seguridad 24 hs por tótem. La unidad monoambiente al frente, fácilmente divisible, ofrece confort y diseño: Cocina con isla y mesada de silestone, horno empotrado y anafe eléctrico Samsung. Espacio de excelentes dimensiones con salida a balcón con DVH. Pisos símil madera y baño completo en porcellanato. Preinstalación para aire acondicionado frío/calor y espacio para lavarropas. Opciones de pago flexibles: Crédito hipotecario. Financiación privada: anticipo del 50% + 72 cuotas con tasa anual preferencial. Descuento exclusivo por pago al contado. Calidad, confort y bienestar en una ubicación estratégica. ¡No esperes más! Coordiná tu visita hoy mismo con nuestro equipo comercial y asegurá tu lugar en VPalermo. Tel : Cel : +54 9 Click para WhatsApp LEPORE VILLA CRESPO. LEPORE PROPIEDADES . LEPORE Propiedades S.A. CUIT : -9. C.U.C.I.C.B.A. Matrícula Nº 931 (Caballito, Villa Crespo, San Cristóbal). AVISO LEGAL: Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda.	https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--16661693	1	0	1	0	0	1	1	0
USD 82.500	N/A	HONORIO PUEYRREDÓN	1800	5	29 m² cubie. A Estrenar 1 baño	Honorio Pueyrredón 1850 VENTA DEPARTAMENTO 1 AMBIENTE CABALLITO Edificio de calidad, moderno, ideal para primera vivienda, apto profesional o inversión. Emplazado en el barrio de Villa Crespo, sobre la Avenida Honorio Pueyrredón, a metros de Av. Juan B. Justo (una de las principales arterias de circulación), Metrobus y rodeado de un entorno residencial con servicios, tales como: farmacias, sanatorios, colegios, institutos, gimnasios y locales comerciales, entre otros. - Pisos de madera flotante en dormitorios y estar comedor - Porcelanatos de primera calidad en baños y cocinas - Mesadas de Granito - Muebles de cocina en melamina de calidad y diseño - Cocina Eléctrica LEPORE PROPIEDADES LEPORE Propiedades S.A. CUIT : -9 C.U.C.I.C.B.A. Matrícula Nº 931 (Sucursales Caballito - Palermo - Centro) AVISO LEGAL: Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda. Venta supeditada al cumplimiento por parte del propietario de los requisitos de la resolución general Nº 2371 de la AFIP (pedido de COTI Esta unidad es apta para personas con movilidad reducida.	https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--16662274	0	0	0	0	0	0	1	0
Consultar	N/A	Avenida José María Moreno	400	0	A Estrenar Excelente	Departamento de 4 ambientes a estrenar con patio y balcón terraza | Edificio terminado y habitado en Caballito | Amplios espacios, excelente distribución y entrega inmediata. Ideal para vivir cómodo, sin esperas. DESCRIPCIÓN DEL AVISO Un departamento pensado para vivirlo, no para imaginarlo Este no es un departamento en obra ni una promesa a futuro. Es una unidad a estrenar, dentro de un edificio ya terminado, funcionando y con vecinos viviendo, lista para mudarte ahora. Una opción ideal para quienes buscan espacio real, buena distribución y tranquilidad, sabiendo exactamente qué están comprando. Departamento disponible — Piso 1º A Ubicación: Frente Superficie total: 128,15 m² Ambientes: 4 ambientes amplios y bien distribuidos Distribución: Palier privado Cocina independiente Lavadero 3 baños Balcón terraza Patio propio Baulera Valor actual: USD 275.000 Es un departamento luminoso, cómodo y funcional, con metros que hoy son cada vez más difíciles de encontrar en Caballito. Ideal para quien quiere vivir bien, con espacio, sin resignar ubicación ni calidad. Por qué esta unidad es distinta Es a estrenar, pero no en un edificio en construcción. El edificio está terminado, habitado y en pleno funcionamiento. Tiene patio propio y balcón terraza, algo poco común en edificios nuevos. Excelente distribución: metros bien aprovechados, ambientes cómodos y circulaciones lógicas. Entrega inmediata, sin esperas ni incertidumbre. Esta unidad es especialmente atractiva para quienes saben que un 4 ambientes amplio, bien hecho y en edificio nuevo, no aparece todos los días. Características del edificio Edificio moderno, ya finalizado y funcionando. Terraza con parrilla, solárium y piscina. Dos ascensores. Cocheras cubiertas y descubiertas disponibles. Bauleras opcionales. Venta directa del dueño. Ubicación Av. José María Moreno 473/475/477, Caballito. Una zona muy buscada por su conectividad, cercanía a medios de transporte, comercios, colegios y espacios verdes. Todo a mano, sin resignar tranquilidad. Una oportunidad concreta Si estás buscando un departamento para mudarte ya, con espacio, buena distribución y la seguridad de entrar a un edificio terminado y habitado, esta unidad vale la pena conocerla en persona. Coordiná una visita Salomón Alejandro Cohen Móvil y WhatsApp: +54 11 Oficina: Av. Corrientes 2470 Email:	https://www.argenprop.com/departamento-en-venta-en-caballito--14730418	1	0	0	0	1	0	1	1
USD 240.000	+ $152.000	BOGOTÁ	800	6	108 m² cubie. 3 dorm. 46 años	CABALLITO | 4 amb c/dep, cochera y baulera. Bajas expensas. CABALLITO Semipiso de 4 ambientes con dependencia, baulera y cochera Ubicado en el centro de Caballito, con excelente conectividad. A pocas cuadras de la Línea A de subte, numerosas líneas de colectivo. Características del departamento: -Amplio living-comedor con salida a balcón corrido -Cocina independiente con comedor diario -Doble ingreso: entrada principal y de servicio -Persianas automáticas -Ambientes amplios y luminosos -Baulera Consultanos para más información o agendar una visita. LEPORE PROPIEDADES LEPORE Propiedades S.A. CUIT : -9 C.U.C.I.C.B.A. Matrícula Nº 931 (Sucursales Caballito - Palermo - Centro) AVISO LEGAL: Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda. Venta supeditada al cumplimiento por parte del propietario de los requisitos de la resolución general Nº 2371 de la AFIP (pedido de COTI)	https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--18007945	0	0	0	0	1	0	1	0
USD 135.000	N/A	José Bonifacio	1600	5	46 m² cubie. 1 dorm. 1 año	JOSE BONIFACIO 1686 VENTA DEPARTAMENTO 2 AMBIENTES CABALLITO Ubicado en una de las mejores esquinas del barrio, a una cuadra de la emblemática Av. Pedro Goyena y próximo a todas las arterias principales como Av. Directorio, Av. Carabobo, AU 25 de Mayo, Av. Rivadavia, Parque Chacabuco, Estaciones de Bus y Subte A y E. En un entorno residencial, con alta gastronomía, locales comerciales y servicios como Colegios, Farmacias, supermercados y todo lo que hace a un barrio consolidado. José Bonifacio 1686 es un edificio que representa la perfecta fusión entre la innovación tecnológica y el confort cotidiano. Su diseño vanguardista no solo destaca visualmente, sino que optimiza el uso de la luz natural, la ventilación cruzada y la eficiencia energética. POSESION INMEDIATA DETALLES DE TERMINACIÓN - Pisos de porcelanato en todos sus ambientes - Ventanas DVH (doble vidrio hermético) con cámara de aire - Mesadas de Granito negro - Cocina Eléctrica - Muebles de cocina en melamina de calidad y diseño - Inodoro inteligente multifunción - Calefacción: piso radiante eléctrico con termostato en cada ambiente, preinstalación de aires acondicionados. - Acceso con cerradura inteligente al edificio y a las unidades - Amenities: Laundry, parrilla y terraza LEPORE PROPIEDADES LEPORE Propiedades S.A. CUIT : -9 C.U.C.I.C.B.A. Matrícula Nº 931 (Sucursales Caballito - Palermo - Centro) AVISO LEGAL: Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda. Venta supeditada al cumplimiento por parte del propietario de los requisitos de la resolución general Nº 2371 de la AFIP (pedido de COTI Esta unidad es apta para personas con movilidad reducida.	https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--16661974	1	1	0	0	0	0	1	0
USD 159.999	N/A	Montañeses al	2700	0	45 m² cubie. 1 dorm. A Estrenar	DEPARTAMENTO EN VENTA A ESTRENAR DE 2 AMBIENTES EN BELGRANO AVENIDA LIBERTADOR DE CATEGORIA ATENCION INVERSORES EDIFICIO DE GRAN CATEGORIA EXCELENTE OPORTUNIDAD DEPARTAMENTO DE GRAN CATEGORIA A ESTRENAR EN VENTA EN EL BARRIO DE BELGRANO DE 2 AMBIENTES AL FRENTE, CON UN HERMOSO LIVING Y COMEDOR CON GRAN BALCON AMPLIO,, COCINA COMPLETA CON GAS NATURAL, BALCON AL FRENTE CON EXCELENTE VISTA, LUEGO TENEMOS 1 DORMITORIO COMPLETO CON PLACARES E INTERIORES,, TODO CON LOS MEJORES DETALLES DE CALIDAD PARA UN EDIFICIO DE GRAN CATEGORIA PARA GENTE EXQUISITA DE LA ZONA, CALEFACCION POR LOSA RADIANTE, PISOS DE PORCELANATO, INMEJORABLE UBICACION A METROS DE LA AVENIDA LIBERTADOR, DEL COLEGIO ORT, DEL SANATORIO FLEMING, DEL ICBA, DE LOS MEJORES LUGARES GASTRONOMICOS, REALMENTE INVIERTA Y GANE DINERO	https://www.argenprop.com/departamento-en-venta-en-belgrano-2-ambientes--15913361	0	1	0	0	0	0	0	0
USD 259.999	N/A	Montañeses al	2700	0	74 m² cubie. 2 dorm. A Estrenar	DEPARTAMENTO EN VENTA A ESTRENAR DE 3 AMBIENTES EN NUÑEZ AVENIDA LIBERTADOR DE CATEGORIA ATENCION INVERSORES EDIFICIO DE GRAN CATEGORIA EXCELENTE OPORTUNIDAD DEPARTAMENTO DE GRAN CATEGORIA A ESTRENAR EN VENTA EN EL BARRIO DE NUñEZ DE 3 AMBIENTES AL FRENTE, CON UN HERMOSO LIVING Y COMEDOR CON GRAN BALCON AMPLIO,, COCINA SEPARADA COMPLETA CON GAS NATURAL CON SALIDA AL BALCON CON EXCELENTE VISTA AL FRENTE, TOILETTE DE RECEPCION, LUEGO TENEMOS JUN HERMOSO PASILLO CON PLACARES COMPLETOS, 2 DORMITORIOS COMPLETOS CON PLACARES E INTERIORES, UNO DE ELLOS ES EN SUITE, CON BALCON FRANCES, TODOS CON LOS MEJORES DETALLES DE CALIDAD PARA UN EDIFICIO DE GRAN CATEGORIA PARA GENTE EXQUISITA DE LA ZONA, CALEFACCION POR LOSA RADIANTE, PISOS DE PORCELANATO, INMEJORABLE UBICACION A METROS DE LA AVENIDA LIBERTADOR, DEL COLEGIO ORT, DEL SANATORIO FLEMING, DEL ICBA, DE LOS MEJORES LUGARES GASTRONOMICOS, REALMENTE INVIERTA Y GANE DINERO	https://www.argenprop.com/departamento-en-venta-en-belgrano-3-ambientes--15913720	0	1	0	0	0	0	0	0
USD 290.000	+ $220.000	Honduras	3900	2º	87 m² cubie. 2 dorm. 20 años	Semipiso 4 Ambientes, Cochera Fija, baulera, SUITE dos baños completos, balcón aterrazado Venta Semipiso 4 Ambientes, Dos Baños completos, jacuzzi, Gran Baulera, Impecable estado - CON COCHERA FIJA CUBIERTA + gran baulera (habitación) SEMIPISO AL FRENTE Y CONTRA FRENTE CON BALCÓN ATERRAZADO + BAULERA (HABITACIÓN) IMPECABLE Y MUY LUMINOSO DEPARTAMENTO EN SEMIPISO DE CUATRO AMBIENTES: CON BALCÓN Y VISTA AL FRENTE Y CONTRA FRENTE - DOS DORMITORIOS CON EL PRINCIPAL EN SUITE Y BAÑO CON HIDROMASAJE, (DOS BAÑOS COMPLETOS) SUPERFICIE TOTAL: 88 m2. (COMO CORRESPONDE, EN ESTA SUPERFICIE NO ESTÁN INCLUIDADAS LAS DE LA COCHERA NI DE LA BAULERA) - En IMPECABLE ESTADO - ANTIGÜEDAD 20 AÑOS - ACCESO DESDE LA CALLE POR DOBLE PUERTA DE SEGURIDAD - GRAN BAULERA. EN ESTE PRECIO ESTÁ INCLUIDA UNA COCHERA FIJA Y CUBIERTA DE ESTE DEPARTAMENTO. - ACCESO A COCHERAS MEDIANTE CÓMODA RAMPA - EL ASCENSOR LLEGA HASTA EL SUBSUELO MOSTRAMOS ESTE INMUEBLE EN EL DÍA Amplio Y LUMINOSO estar más comedor. Posee un gran ventanal APAISADO con salida a BALCÓN ATERRAZADO. Cocina separada con COMEDOR DIARIO, COCINA EQUIPADA con alacenas y bajo mesadas. LAVADERO incorporado, DOS BAÑOS COMPLETOS CON EL PRINCIPAL EN SUITE. Dormitorio secundario con amplio PLACARD. - CALEFACCIÓN Y AGUA CALIENTE POR CALDERA PROPIA (PEISA) - BAULERA (HABITACIÖN) - COCHERA FIJA CUBIERTA INCLUIDA EN EL PRECIO PUBLICADO - BALCÓN ATERRAZADO AL CONTRA FRENTE de 3,72 x 1,60 metros - AIRE ACONDICIONADO SPLIT - Sistema de cableado para televisión/internet embutido EDIFICIO NO APTO PARA PERSONAS CON CAPACIDADES DISMINUIDAS Excelente ubicación por estar ubicado sobre la arbolada Av. Honduras y cerca de Av. Santa Fé y Alto Palermo con numerosas líneas de colectivos y línea de subte D. TERRAZAS & BALCONES Propiedades - Atención Back office: Lun a Vie de 09 a 20 Hs. - Sab 10 a 20 Hs. - AGRADECEMOS SU VISITA. - TASACIONES SIN CARGO. Necesita mudarse Hoy? Tomamos propiedades en parte de pago Los datos presentados en esta ficha son a solo efecto orientativo. Surgiendo los reales del respectivo titulo y plano de esta propiedad - CUCICBA. 5209 >>> Terrazas y Balcones Propiedades asegura la absoluta reserva y confidencialidad de toda la información que le es suministrada por los involucrados en todas sus operaciones en cumplimiento de la Ley de Protección de Datos Personales. TERRAZAS & BALCONES ES NUESTRA MARCA REGISTRADA Es el momento de elegir inmuebles con terrazas, balcones aterrazados y patios parquizados para vivir toda la energía que emanan - Mostramos nuestros inmuebles en el día - Carlos Campagnoli - Martillero Público - CUCICBA 5209 LAS FOTOS PUBLICADAS DE NUESTROS AVISOS NO ESTÁN MODIFICADAS NI ALTERADAS Y RESPONDEN AL ESTADO ACTUAL DE CADA PROPIEDAD.	https://www.argenprop.com/departamento-en-venta-en-palermo-viejo-4-ambientes--9070214	1	0	1	0	1	0	1	1
Consultar	+ $230.000	Avenida Gaona	1100	0	118 m² cubie. 2 dorm. 30 años	Excelente semipiso 4 amb con dependencia cochera fija cubierta Excelente semipiso 4 ambientes con dependencia y baño de servicio Actualmente se derribo una pared para duplicar la zona del living, hoy hay 2 dormitorios. Se destaca la amplitud de sus ambientes. Gran living comedor con balcones corridos piso alto mucha luz y vista abierta Cocina comedor independiente , lavadero independiente, dependencia de servicio Actualmente se utiliza como escritorio. Habitación principal con vestidor, segundo dormitorio y dos baños completos. Pisos de madera, excelente estado de conservación . Cochera fija cubierta Vea el video de la propiedad ! AVISO LEGAL: Las medidas son aproximadas y pueden variar, los valores de expensas, impuestos y servicios y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos del inmueble. El oferente deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación	https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--18034339	0	0	0	0	1	0	1	0
USD 117.000	+ $180.000	Malabia al	2300	0	33 m² cubie. 1 dorm. 47 años	Venta departamento con cochera Malabia y guemes palermmo Salaya Romera Propiedades ofrece en venta 2 ambientes piso alto con cochera en Palermo! El departamento presenta un plano apaisado, por lo que posee la misma luz natural en todos sus ambientes. Es un dos ambientes muy cómodo y de gran funcionalidad, ideal para inversión. Living comedor super luminoso, con vista abierta y pisos de parquet. Cocina separada, artefacto de cocina a gas, muebles de alacena, a continuación se encuentra un balcón lavadero, con conexión para lavarropas. Agua caliente por calefón. Dormitorio en suite, muy luminoso, posee placard de piso a techo. Baño completo con bañera, ventila por extractor. La unidad posee cochera fija en planta baja. Edificio de 14 pisos, 3 ascensores cómodos. Encargado con vivienda y ayudante. Excelente ubicacion: Malabia 2300, Palermo. A metros de Plaza Italia y Plaza Serrano, rodeado de bares, diseño y gastronomía. Conectividad ideal desde Plaza Italia (Subte D + colectivos). Ubicación estratégica, ideal para inversión por su alta demanda. Agenda tu visita! Las imágenes aquí contenidas han sido incluidas al solo y único efecto ilustrativo de esta presentación. Las medidas son aproximadas y han sido suministradas por los propietarios. CUCICBA 3638 CMCPSI	https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--18589790	1	0	0	0	1	1	1	0
USD 365.000	+ $624.000	Billinghurst	2300	0	145 m² cubie. 3 dorm. 40 años	ESPECTACULAR PISO C/BALCON TERRAZA AL FRENTE C/PARRILLA! M/lum! T/luz y sol! Dep! Coch! Baul! OPORT! IMPECABLE PISO! ESPECTACULAR BALCON TERRAZA AL FRENTE CON PARRILLA PROPIA Y VISTA ABIERTA! Muy luminoso! Todo luz y sol! Excelente distribución! Doble circulación! Palier privado! Hall de entrada! Amplio living comedor en L! Toilette de recepción refaccionado a nuevo! 2 Baños completos! 1 Dormitorio en suite! 2 Dormitorios! Amplios placares! Cocina completa! Lavadero independiente! Dependencia de servicio con su baño! Entrada de servicio! Servicios centrales! 3 Splits frio-calor! Aberturas con doble vidrio! Encargado! Cochera! Baulera! APTO CRÉDITO! ÚNICO! OPORTUNIDAD! * Esta propiedad NO posee rampa de acceso para personas con movilidad reducida. *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204	https://www.argenprop.com/departamento-en-venta-en-recoleta-4-ambientes--17098600	1	0	1	1	1	1	1	0
USD 95.000	+ $274.000	Larrea	1000	0	40 m² cubie. 40 años 1 baño	IMPECABLE MONAMBIENTE DIVISIBLE! Todo luz y sol! Cocina independiente! Apto profesional! IDEAL INVERSOR! ÚNICO! OPORT! IMPECABLE MONOAMBIENTE DIVISIBLE! Muy luminoso! Todo luz y sol! Excelente distribución! Amplio ambiente! Baño completo con ventilación natural! Cocina completa independiente con ventilación natural! Split frío-calor! Pisos de madera! Agua caliente central! Placares! APTO PROFESIONAL! El encargado vive en el edificio! Todos los medios de transporte! APTO CRÉDITO! IDEAL INVERSOR! ÚNICO! OPORTUNIDAD! * Esta propiedad no cuenta con acceso para personas con movilidad reducida *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204	https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--17587220	0	0	1	1	0	1	1	0
USD 115.000	+ $190.000	Mario Bravo	1100	0	55 m² cubie. 1 dorm. 40 años	IMPECABLE SEMIPISO AL FRENTE CON VISTA ABIERTA! Muy luminoso! TODO EXTERNO! Baulera! APTO PROFESIONAL! ÚNICO! OPORT! IMPECABLE SEMIPISO AL FRENTE CON VISTA ABIERTA ! Muy luminoso! Todo luz y sol! Excelente distribución! TODO EXTERNO! Hall de entrada! Amplio living-comedor! Baño completo con ventilación natural! Dormitorio con su placard y cerramiento DVH! Cocina completa! Lavadero! Split frío-calor! Agua caliente central! Pisos de madera! El encargado vive en el edificio! 2 Ascensores! Baulera! Apto profesional! Apto crédito! Inmejorable ubicación (frente a la Universidad de Palermo) Todos los medios de transporte! ÚNICO! OPORTUNIDAD! *Esta propiedad no posee acceso para personas con movilidad reducida *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204	https://www.argenprop.com/departamento-en-venta-en-recoleta-2-ambientes--18524315	0	0	1	1	0	1	1	0
USD 207.000	+ $440.000	Juan María Gutiérrez	2500	0	85 m² cubie. 3 dorm. 40 años	IMPECABLE SEMIPISO! Balcón corrido al frente con vista abierta! Todo luz y sol! Baulera! ÚNICO! OPORT! IMPECABLE SEMIPISO! BALCÓN CORRIDO AL FRENTE CON VISTA ABIERTA! Muy luminoso! Todo luz y sol! Excelente distribución! Toilette de recepción a nuevo! Living-comedor! 3 Dormitorios! Placares! Baño completo con ventilación natural a nuevo! Cocina completa! Comedor diario! Lavadero independiente! Entrada de servicio! Servicios centrales! 5 Splits! Pisos de madera! Baulera! El encargado vive en el edificio! Inmejorable ubicación! Apto crédito! ÚNICO! OPORTUNIDAD! * Esta propiedad no posee acceso para personas con movilidad reducida. *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204	https://www.argenprop.com/departamento-en-venta-en-recoleta-4-ambientes--18705426	0	0	1	1	0	1	1	0
